UjlhxnrFAeDBwF7ksscOTwOIoTiYmevJ07nMvU8lX3mWkyHbh7QVrxRU,node0,8,8,474,1,node0,2,Canada,Amazon,lighthouse,4,11,6,7,6
DzzncJLiFlnUV8GMWnYO5MbWYy2arYqV1dd653d2hEeZYoSJaVCLYul8,node1,8,9,8,1,node1,7,Finland,AT&T,teku,5,10,2,4,10
tU6ySzTHj5gJMPBA8FXDXNBnwynf8DGk3hlqX1mMDfPGIvgLT9xd2nK5,node2,4,10,3,4,node2,5,United States,Contabo,lighthouse,6,644,9,1,10
amraa3tuTVXesrjixicSkGgD7djrHbZR4WiNIXf3oTDInivyFdSaJHw7,node3,11,10,10,9,node3,67,United States,Amazon,lighthouse,2,10,1251,7,72
WSS5D4N7Nj13jo76tm0BRx77kxjNujhti5UxUHV1VNjLbjW773AkaTQU,node4,-1,1,4,3,node4,11,Finland,Amazon,teku,10,12,108,4,9
LWITUoxLLeAOqiX8FqMmdkuhBjtK8hwMW1KEi9WbTVg4IUsBKZ5Zz1Lw,node5,7,2,6,7,node5,-1,France,DataClub ,lighthouse,4,6,2,11,3
GwmBVjjpDxvAw7qmp4iHMNMI6dTobrOOIFiiIzsHAyINJTUNx4GtG6I5,node6,3,5,10,3,node6,69,Canada,Amazon,teku,2,9,7,2,4
NaDcTRS4qxfY6hfqGYoFdBfyhchH9JNBOfPHkqYpxZRipqcCH2zgtlA3,node7,5,9,4,14,node7,7,United States,Hotwire Communications,prysm,8,5,3,633,6
9pDp8G3WWZjmGoVivjh3WMTYIP4SLPm4xHkcgChxUZa66MmvfyJD2Fhh,node8,7,8,9,1,node8,1,Germany,Amazon,prysm,70,3,4,2,8
oaus8il5ELfJFDl3Smgsp8XJGvumsyE1PzDIqwhFQEYrfko6ltcgL8hO,node9,5,5,79,767,node9,10,Germany,Amazon,prysm,7,8,5,2,4
ga2CjrvzATf90a6RH91nP30UTa8rTYhlDThE5p6qJgRM4TXXN553XmRR,node10,66,5,3,9,node10,5,Japan,Amazon,prysm,10,643,5,3,2
9OaxwdqGAhh7QSD0xu07NjpOYgydAcUCMuvB5JFgFGNLyZrvLiYg2f0D,node11,-1,8,407,9,node11,10,United States,Amazon,prysm,3,8,5,2,162
WkJ2VIq7fxiBIAUI8wTI05RQPZetiI41Cc0FWEKGEolheuxw0m5lCCv7,node12,4,7,7,5,node12,-1,Netherlands,Amazon,lighthouse,2,21,3,52,7
5xEbMzBrLBaYQXVf2YhsrQ8N7mXvMBM197SzZCIYG5jsWptrucAW3Gky,node13,66,14,4,8,node13,6,United States,Emirates Telecommunications Corporation,lighthouse,11,3,9,7,6
C51Bp4scn5aOFBlJFYEZVco234P2VDHbiu6WSMCyNpl4MPe5sBgWgIzv,node14,7,6,5,7,node14,4,Germany,Amazon,teku,9,7,9,2,7
m4QFYIIYvC8fKn5m5vDIPMssg6skEZa7LT2bWYxwpicspDFE0ZUzP58Z,node15,5,2,7,1,node15,14,United Kingdom,Deutsche Telekom AG,lighthouse,10,6,10,508,4
nqTQ8FcEgYsB2kN3Stlzp5pstjnx1PZdtoV7i2oXMY7RFDjHT6YiJpUt,node16,72,9,6,5,node16,3,Canada,Amazon,prysm,4,1,13,4,5
iY2DURnYLPxpElcJmSAxcsEJeft6cWCfjWTw2xqQyFL8rvhuELF6RWHi,node17,3,12,5,4,node17,9,Germany,Vodafone,lighthouse,10,6,9,1,11
6Vx3pGK1pqO7i5Hdu3QKPlcRCDxRHcPZOd4tooJX3eam2Jn4Ssughk1m,node18,7,80,776,6,node18,73,Poland,Amazon,lodestar,7,15,8,7,10
tqKEsDTvIXtxyIvX6KSPwm0ml5XSYVy3vJswnCxyiLLPKmMEPvkO10C7,node19,2,6,9,10,node19,2,Sweden,RCN,lighthouse,24,10,6,1,10
Od8cmbTByau3w7sGrmGR5JSrAfttr1z10r6TV3vGYRTDwnRLUL9XrLTw,node20,7,1,5,8,node20,4,Germany,Sunrise ,lighthouse,10,12,1,7,1
3NfirRoGnJAW9aR334LmZZczLmLEzIF0m4ndhAwenB7pw7kdvPxicqo5,node21,4,10,4,5,node21,7,United States,netcup,nimbus,9,8,11,69,4
nY3XdCoQLoBCO5hBIKcCXFZrw6fbcjWcm9xHEi8zmbLYKttNekINGiQR,node22,1,4,6,501,node22,1,United Kingdom,Quintex Alliance Consulting,prysm,11,5,2,2,13
seEGhpaevfmkvDWWB2d6owl7cet3wgztcs0faFJiyQ9A91aeZWGiDV79,node23,4,1594,10,13,node23,7,Canada,Bahnhof AB,lighthouse,7,10,8,8,8
v9Xyada598LcZQxEmYtVdPQ346qzMVD9gNBtergBxm7IvFuiq7YWB9Jc,node24,13,4,5,661,node24,11,United States,OVH,prysm,9,8,6,7,4
7oWVgWUZR5bZmLzonY3Qv0EDqy04TEKk3rtu1nqBIEnbKIiJJhuWFAHN,node25,-1,1,1,4,node25,8,France,Google,teku,7,6,3,6,15
ATW1gbL10IN1p2AOTiE4zJSGkQuHDkbUV7TZZY7fZ09aRx7b0rKCgBWB,node26,65,3,11,2,node26,9,United States,Contabo,lighthouse,8,8,8,7,5
A1wEQQ7xbxQmHc4efmMMbT3QNUyryfUNp2geu1sfr2NAsdpERfnxokzC,node27,4,6,5,10,node27,7,Singapore,DNA Oyj,prysm,4,11,11,5,6
AktZv1EB6a8PiWZ9UcaTv0gOXtHX2TdWaSKe4rBLCNYlRlfkMMJ22BiG,node28,13,10,8,4,node28,10,France,BT Public Internet Service,lighthouse,12,8,9,4,4
57edw2YTZIFSE4Sqkj809lDToDMp79Hc9rPq1UAO9vQqwK9r5RRlm29Y,node29,73,16,3,4,node29,5,Hong Kong,Hetzner,prysm,4,9,5,3,11
R5OwxTzNBlKyXVVEfdMHv1rIpfEEeJ8XWjixYMyicnuYapfLKiTkMx3t,node30,7,12,10,8,node30,4,Germany,Amazon,lighthouse,2,7,5,1,4
moV1Tex9gYbQbZqLOiOnJXo1I5n6vhTtjSp48Z2M1vR6BU8AMjz9KG4M,node31,67,1,8,10,node31,8,Germany,Verizon,lighthouse,3,7,668,6,6
bEtNv0l0p6rouKodBoTH1HnPQOTHTWkQz229NAPgN3ShP4sAxaD4VWHj,node32,2,334,6,6,node32,69,France,Amazon,prysm,10,6,15,4,9
YVOobZlXruUy4jkaao6IT60dEe06L1X4gUSvilT42VMoDVwNKx1XShQr,node33,7,51,5,222,node33,5,Australia,Hetzner,prysm,5,8,3,4,2
9fvgOZOFPhkFip7vPm8FNUomaiqPxrHIsYlLiOZ8hJMsGse4rVtMPpve,node34,12,10,10,5,node34,19,Canada,AT&T,lighthouse,7,3,31,7,97
wdMeQpN2vK88Pwc4MvOCOWnuRsQVhatrepnsuYgAYJ1cL33neCZG6OMd,node35,1,7,12,12,node35,6,Finland,Alwyzon,lighthouse,46,3,10,8,10
IMLBZiqxQKn2WQyQuIzglxNhmOwpAt4j9RpX81aNxUob5U7rmXdf9MOz,node36,-1,407,10,6,node36,2,Finland,Aussie Broadband,lighthouse,9,5,26,9,9
n8YZn8WKonUyfW9Ute9LMFOn3QtD2VMGhwJZvcma4LKnM8ukxoXHWkSO,node37,3,5,2,10,node37,71,Vietnam,Hetzner,lighthouse,9,2,19,103,5
e2Ia16ffGyraivZyxBPEsyXFQWlHfy5srebeDkzmrRhQe6DDIwzRe5vG,node38,4,12,10,5,node38,6,United States,China Networks Inter-Exchange,prysm,3,8,4,6,9
KdEklRwmARqP9KL9o2CLiSEM2MIypqrUWsnqW8plVyalLwVWTvAORxTw,node39,3,4,2,10,node39,29,Finland,Psychz Networks,prysm,12,10,61,4,1
TxKUOWHPYzEoWtarADQc0t984rc66BM4c4IyThGDPVKQ5wlkg3p75fZ8,node40,7,4,1,2,node40,1,Germany,Aussie Broadband,lighthouse,8,6,3,1,4
oXfsPNuM4dSmfPc9nr1kG89rKcvgLb7t6afHPfkvbCvKjbQOy1upKLT6,node41,2,6,9,8,node41,2,Singapore,Cox Communications ,lighthouse,69,10,6,16,7
lmX5bXFYn4ffG4nqSr1bftnciZoLGgbWtfKT25b4vdjn0dyVBf6HYoZO,node42,4,10,1,3,node42,3,Germany,France Telecom,lighthouse,4,9,10,3,10
z9XKENSFFlSxqJkrs4vDi11wtfT8HM8iB5nE9hYAz126jnVNQDCEfsv6,node43,7,4,10,7,node43,8,Canada,Internap Holding ,prysm,5,19,12,7,10
nv1ocI0dYOPy4VjzS2xeeGmhUDKWjfEFZg51VBSeZY3lCEzVch4WQc2h,node44,4,4,10,347,node44,7,United Kingdom,Hetzner,grandine,13,17,2,8,10
mUQu7S9DSzLlPBC9WPwnUduQ15dvP2lfafSxWxuwfcYfspzEwFovojlF,node45,2,5,7,3,node45,7,Germany,Deutsche Telekom AG,prysm,9,7,8,10,49
EgPuJmsSM500wvOhIgHQIpfzXr73q2TwUKY1WWisHOOVDOp2UXg5U1am,node46,6,6,4,16,node46,6,Germany,Verizon,teku,14,11,5,4,5
twkj6xCktB18mITeNzlO27CvATX7rvBP9gh8PiPUNSG4k7UCHDU6blr9,node47,73,3,433,5,node47,9,Australia,Amazon,prysm,6,3,5,1,8
CYmTTI0iD2TKmuZCbfxtsoZIEwiqvtuyC96vWLotLp0WkTaGPKj4yTG4,node48,68,16,1,11,node48,9,Canada,Proxad  Free SAS,prysm,7,3,4,3,3
P2v5EpvZo93dIJtRt8hDovKg8aLIpZ3jBj03xJnYS6o7oV8ykwPZa9vo,node49,3,6,8,9,node49,11,Germany,AT&T,teku,66,17,3,17,6
mhkUQ8CICypxzmUEgtaPq3rVQSRnxnC4RHgWchFewdu1SITSauYlzQ6i,node50,2,6,1,8,node50,70,United States,TRUEBB,lighthouse,8,3,3,3,5
Hbqi7QSxVvCkEsnTfQjmuW4GReGHAJtuqbIFpORa41H4skO5ukWLuPwa,node51,6,6,55,8,node51,4,Germany,Companhia de Telecomunicacoes de Macau,prysm,4,5,9,20,9
od7jUXXSnMaTcPkD9XomWIs5BPDE4yBgwLp2hLozgGFGblOjryYTPett,node52,10,622,11,1,node52,1,United States,Virgin,nimbus,4,11,9,2,2
9UowVF4hcJlzByG6FqgyEDWnkF5j6nni9ZrJh5KDie6NRegzWFdr7WDF,node53,9,3,7,1577,node53,69,Germany,Owl Limited,prysm,7,3,8,9,8
p03T47QGELuEblYIIHtma17PmxJ9SQSXfLNXxnxvkpo6nLODt9TTcMFO,node54,8,25,31,347,node54,6,United Kingdom,Rogers Communications Canada ,lighthouse,71,4,9,12,13
SH9LMrhOJnezymhfkAfEGzjaYKana3XxEkqXRGTdNLGViMVhub0X6TtY,node55,9,4,2,8,node55,1,Japan,Namecheap ,lighthouse,11,4,7,4,8
F8F49OceIWqoAyVwhIdTYAvfd2kIHmEvcDt0h42xyuxUysnST5rm8j2C,node56,2,9,3,113,node56,5,United States,Wholesail networks ,teku,69,4,1,3,1
c5zzmXryjyMCmWkwvrjlbo0njuXA7ucVGjMkEYGdoK2Ouk4q8xIKKp1i,node57,4,6,28,3,node57,4,Germany,Charter,prysm,3,9,1,10,10
QZWtcUM0VX8bPpWouy1erqhAj3exa53Zbvv6WLgBEmENtwaTZYqZ2OQY,node58,9,9,11,10,node58,10,United States,Dedicated.com,teku,8,13,10,8,8
DuPv1GImyTf31xMqrq5ZkkQAnLq2ybxyM0BYdZw1uN7UePPb4HeGcKkW,node59,5,10,1,3,node59,6,Germany,OVH,prysm,64,6,1506,4,10
DysaXhzyMESRhTNifCNIxM3W4Tp3UX0ld1RDZUQrhPOlj3yzHYee8TSp,node60,7,10,7,87,node60,10,Switzerland,Central Utah Telephone,prysm,2,7,3,3,8
RzQS3HYWn4pYNmIXLx2y8rVdvW4d6ywEEarNEubSNIlBoxkA9QkImJ0Z,node61,3,3,5,2,node61,72,United States,Swisscom (Schweiz) AG - Bluewin,prysm,5,15,105,59,6
2Ybzykbbk9KuhIjO8Dc6J6iFAW0hEYr0RRQRyyHnsvlbux1gJh4UxaqO,node62,5,5,3,11,node62,10,Israel,TMONL,lighthouse,6,22,1,6,4
ieoH7dD2rtdAm6lDHmPKQUKVf1EBHbjX1WcUBqRBGqG0Daootvvl5WLa,node63,4,8,8,10,node63,6,Netherlands,Hetzner,lighthouse,9,21,3,9,6
zoztw8euonRc6KCdflaxPtCoYijga42oEXsJNw0tJWbnVkqvfl0Af8bJ,node64,11,4,6,7,node64,73,United States,Frontier Communications Corporation,prysm,8,642,11,9,3
cQ1eC0qEsLEVnR08cpJupI3GaXvmdGjAZBMqrRCP2e2yfPk6Ltf4IQpZ,node65,6,30,5,7,node65,7,Austria,OVH,grandine,9,8,11,71,10
lhJ1h07JAhCXbS0p4PvNw4XCSb5w224n0u7bgHP2tO3B2rRLznX4JGl4,node66,11,3,1,10,node66,3,Japan,Vodafone,grandine,5,9,16,447,5
1NT2FHcmyFavpEprYiANCd0ECYbsUUYZ6c5FPhnzHsCSNUb76m2rlw29,node67,7,8,23,37,node67,1,Germany,TeraSwitch Networks ,prysm,8,7,33,6,18
W9zcmSxeEIsinuhjSxMyo2cGTe42aqesHhBLgkeNTtdx0z1ea1sBta3b,node68,2,463,562,82,node68,72,Germany,Charter,prysm,10,3,344,10,71
wfKP6HzJL56xlWoBt7gR3UrafM0NDFtD8KxHmkugM5p5ZMgTezyMwBSJ,node69,74,1,10,3,node69,5,United States,Amazon,prysm,2,8,11,7,1
ijIPrJY3iVUEYo8rf63I403enrMzVdonfgbpmk9FHGpmUdt76yCjV0W0,node70,45,9,3,5,node70,3,Singapore,Verizon,nimbus,7,8,11,474,3
tGwW5YkS4M1qN6ClXYxdifBeDVCTFafw8i8ew53YWhsZzoPQikqrPIyr,node71,1,7,14,5,node71,8,Malta,Amazon,grandine,6,10,8,9,12
